,importance
pm25_lag_1,0.13272576733718883
PM10_lag_1,0.10620930408570685
AQI_lag_1,0.08717996109797524
pm25_roll_mean_3,0.06723473826519845
pm25_diff_7,0.05089542640367417
Pressure_roll_mean_7,0.04432697028532993
pm25_lag_2,0.03887122091161185
pm25_roll_mean_7,0.033188081826539956
Relative Humidity_roll_mean_7,0.029361470447617364
PM10_roll_mean_7,0.025976734125210867
Pressure_lag_1,0.025588826759466395
pm25_roll_std_14,0.024577826672024867
Relative Humidity_lag_1,0.02092508112403991
pm25_diff_1,0.02026427199920672
AQI_roll_mean_7,0.020218911002602664
NO2_lag_1,0.018200675461584992
pm25_lag_3,0.016769267316609143
Temperature_roll_mean_7,0.01421105038917862
pm25_roll_std_7,0.01312930535995671
NO2_roll_mean_7,0.0123471780818001
pm25_roll_mean_14,0.011531316171453155
Clouds_lag_1,0.011395368212080962
Temperature_lag_1,0.010724920775994568
UV Index_lag_1,0.009291810524451806
pm25_roll_std_30,0.008652367799522795
pm25_roll_mean_30,0.008497796722985463
O3_lag_1,0.008348018105395236
O3_roll_mean_7,0.008310812577536764
CO_lag_1,0.007856191082343443
Wind Speed_lag_1,0.0076455257520157156
pm25_lag_14,0.007463501461266609
month,0.0074439889164826965
pm25_roll_std_3,0.00708014905284921
CO_roll_mean_7,0.006904522272371141
pm25_lag_7,0.006689260139780281
pm25_lag_30,0.00649356863519778
month_cos,0.006383736576425506
Wind Speed_roll_mean_7,0.006348955862113785
SO2_lag_1,0.006038654395269266
Clouds_roll_mean_7,0.005925794052206497
UV Index_roll_mean_7,0.005714236801481935
pm25_lag_21,0.005282628268829925
SO2_roll_mean_7,0.004884162834305836
Precipitation_roll_mean_7,0.003985449471461157
month_sin,0.003361477172386745
dow_sin,0.0032013399230731297
day_of_week,0.0025241744552212545
Precipitation_lag_1,0.0025114824387420928
quarter,0.0022520096038330184
dow_cos,0.0016836648967385214
season,0.0016310877460511955
year,0.0009439235823658459
is_weekend,0.0007960347652430673
