date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-01-01,138.7917,,,,,,,90.5865,-48.2052,48.2052,87.3833,-51.4083,51.4083
2025-01-02,143.625,138.7917,-4.8333,4.8333,,,,130.3383,-13.2867,13.2867,98.9792,-44.6458,44.6458
2025-01-03,129.8613,143.625,13.7637,13.7637,,,,126.8974,-2.9639,2.9639,102.6645,-27.1967,27.1967
2025-01-04,117.3471,129.8613,12.5142,12.5142,,,,118.8947,1.5476,1.5476,111.0462,-6.3009,6.3009
2025-01-05,104.5138,117.3471,12.8333,12.8333,,,,111.3533,6.8395,6.8395,101.5455,-2.9683,2.9683
2025-01-06,114.8888,104.5138,-10.375,10.375,,,,101.1437,-13.7451,13.7451,94.8408,-20.0479,20.0479
2025-01-07,137.1254,114.8888,-22.2367,22.2367,,,,111.5158,-25.6096,25.6096,95.3955,-41.73,41.73
2025-01-08,74.6529,137.1254,62.4725,62.4725,138.7917,64.1387,64.1387,128.0029,53.35,53.35,93.2414,18.5885,18.5885
2025-01-09,116.0417,74.6529,-41.3888,41.3888,143.625,27.5833,27.5833,70.2777,-45.764,45.764,67.3991,-48.6425,48.6425
2025-01-10,48.5488,116.0417,67.4929,67.4929,129.8613,81.3125,81.3125,120.4184,71.8696,71.8696,91.5257,42.977,42.977
2025-01-11,60.1321,48.5488,-11.5833,11.5833,117.3471,57.215,57.215,48.4877,-11.6444,11.6444,65.8129,5.6808,5.6808
2025-01-12,79.1596,60.1321,-19.0275,19.0275,104.5138,25.3542,25.3542,73.1073,-6.0522,6.0522,79.0065,-0.1531,0.1531
2025-01-13,111.875,79.1596,-32.7154,32.7154,114.8888,3.0138,3.0138,80.9898,-30.8852,30.8852,91.2202,-20.6548,20.6548
2025-01-14,105.2917,111.875,6.5833,6.5833,137.1254,31.8337,31.8337,107.2872,1.9956,1.9956,99.7144,-5.5773,5.5773
