,p,d,q,aic
29,3,1,1,9376.37677905438
31,3,1,3,9377.02394486287
15,1,1,3,9377.749726951648
30,3,1,2,9378.369456910346
22,2,1,2,9380.893957475215
14,1,1,2,9382.17181985476
23,2,1,3,9385.757812362383
21,2,1,1,9386.050850224385
26,3,0,2,9386.57538663481
18,2,0,2,9387.201657425667
11,1,0,3,9387.30642376581
24,3,0,0,9387.76049097914
19,2,0,3,9388.033956074774
25,3,0,1,9388.704719190455
10,1,0,2,9388.809308416796
27,3,0,3,9390.019080275162
13,1,1,1,9395.554549776292
17,2,0,1,9401.874705594582
9,1,0,1,9406.355115688599
16,2,0,0,9408.301384945995
8,1,0,0,9410.2207950996
7,0,1,3,9411.960106544828
6,0,1,2,9428.803408885096
28,3,1,0,9437.346567827282
20,2,1,0,9443.779644679196
5,0,1,1,9494.793312282356
4,0,1,0,9494.905416435853
12,1,1,0,9495.740606247999
3,0,0,3,9548.523984312129
2,0,0,2,9629.421814860165
1,0,0,1,9884.601329244699
0,0,0,0,10646.950516482604
