,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,1.6580671787261962,0.2050147940109754,0.7470290184020996,0.2013816997272751,300,2,sqrt,15,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15}",-16.425280063762834,-12.916022863582883,-34.567503936724265,-20.45369006927046,-18.474953853641594,-20.567490157396406,7.430947458730375,1
19,1.1223867416381836,0.1341695431502845,0.1982868194580078,0.11102647232885036,200,1,sqrt,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",-16.420488796054627,-13.197173910482993,-33.74708019662566,-22.251168487487508,-18.472613607344464,-20.81770499959905,7.101141015576592,2
18,0.8260078430175781,0.11942046797473979,0.504872989654541,0.11719994911781241,200,2,0.7,,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': None}",-16.837160083426205,-13.136086501838346,-34.2361000806384,-21.5298544137686,-18.890004894469346,-20.92584119482818,7.198194835172162,3
4,0.7148178100585938,0.20936234868330694,0.48852086067199707,0.21448139838665167,100,4,0.7,10,"{'n_estimators': 100, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 10}",-16.624525485478234,-12.911968855421557,-34.48550413975963,-21.876101788332978,-19.07178417182258,-20.993976888162997,7.360777624144714,4
9,1.385785961151123,0.3785628529955934,0.6978252410888672,0.32094989540071134,300,2,0.7,5,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 5}",-17.036027305887785,-12.928968682398471,-34.39364696169868,-21.59907505610017,-19.016659226985766,-20.99487544661417,7.273744637028402,5
2,0.8341511726379395,0.27276506464963557,0.6333003997802734,0.14019960100269507,300,4,sqrt,15,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15}",-16.516192702724812,-12.860313670404269,-36.081512289548954,-20.976099821854593,-18.55602430212079,-20.99802855733068,7.997307088770952,6
12,1.5221415042877198,0.3487375516201583,0.8246058464050293,0.22518445353635527,300,4,0.7,15,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 15}",-16.668068072775462,-12.945183574684254,-35.05665234028919,-21.86646794888808,-18.562000843760742,-21.019674556079543,7.5885156392392075,7
5,0.8344912052154541,0.11585869734374456,0.20611896514892578,0.035452806356869336,100,1,0.7,5,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 5}",-17.07323068182628,-13.01860571120913,-34.31077451908406,-21.778053644965663,-19.134881605300446,-21.063109232477117,7.2161348462146035,8
14,0.7887813091278076,0.19618337867120286,0.4522550582885742,0.12963722732060376,100,2,1.0,15,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 15}",-17.350644438408338,-13.148434675406486,-34.10184647053963,-21.84911027866198,-18.87786296326668,-21.065579765256622,7.096847262535951,9
10,2.054248046875,0.18417453408017195,0.6741054058074951,0.06284739466431476,500,1,0.7,10,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 10}",-17.120766100081116,-13.236382443155966,-33.891353913054736,-22.319100487479048,-18.796285726624795,-21.072777734079132,7.043850064172364,10
8,1.1997706413269043,0.3544085761456562,1.0577441215515138,0.34371244406774876,300,2,1.0,10,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.369777794839568,-13.147850887951016,-34.487450862747004,-21.685154343779004,-18.71087339055065,-21.080221455973447,7.244631797553306,11
15,0.9440747737884522,0.0508559136252052,0.21557369232177734,0.1182741054033348,100,2,1.0,10,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.369001831531985,-13.02856447480518,-34.02970062452858,-22.061218076885027,-18.933205283949206,-21.084338058339995,7.09736979537035,12
7,0.9397258758544922,0.11444763155000456,0.4086435317993164,0.23407066849236668,200,2,1.0,10,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.349989541998216,-13.044372465003066,-34.51850062035592,-21.855625139756278,-18.80333245351087,-21.114364044124876,7.278138386405219,13
1,1.1158241748809814,0.22560740373016946,0.5756016254425049,0.19258655542923453,500,2,0.7,5,"{'n_estimators': 500, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 5}",-16.951268909594717,-12.897160479114135,-34.82049457381993,-21.887512323326035,-19.046594339085065,-21.120606124987976,7.450973689684555,14
0,0.36148247718811033,0.020574481095981423,0.3475220203399658,0.08614389981882074,200,4,sqrt,,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}",-16.544253527148815,-12.877183158720825,-35.89152517209143,-21.915965558912127,-18.512023376214724,-21.148190158617588,7.931085310200447,15
13,1.0302043437957764,0.17157411806140455,0.36280531883239747,0.11474625741014911,200,1,1.0,,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",-17.49763785605221,-13.18199066626261,-34.03331642896703,-22.242233383819972,-19.01023006494837,-21.193081680010042,7.050830776098374,16
3,0.8005425930023193,0.33574866192877145,0.5799970626831055,0.15957057059018018,200,1,1.0,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 15}",-17.52936281345958,-13.24340829096637,-34.22204956429313,-22.26234417210311,-18.764105569556886,-21.204254082075817,7.119224257804731,17
16,1.5639894485473633,0.059053507744595855,0.26305737495422366,0.18099041911025832,500,1,1.0,5,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 5}",-17.386533908703896,-13.056330898602324,-34.56745122649367,-21.935788959242807,-19.181313670567064,-21.22548373272195,7.268615482211551,18
