,count,mean,median,std,min,max,q25,q75,iqr,skewness,kurtosis
PM2.5,1265.0,50.7711,41.5,32.6907,2.3333,261.0138,28.9671,62.6946,33.7275,2.0908,6.4596
AQI,1265.0,123.8431,115.6667,46.7901,42.875,500.0,88.25,154.5833,66.3333,1.2173,4.7221
CO,1265.0,424.6517,201.55,592.6429,10.0,6096.2333,137.0083,362.2708,225.2625,3.4268,16.1228
NO2,1265.0,27.7022,21.5125,20.3596,5.625,156.2083,14.5667,32.9042,18.3375,2.3503,7.3499
O3,1265.0,57.6549,57.4042,25.6193,4.7917,212.8875,38.5667,73.4788,34.9122,0.4891,0.7281
PM10,1265.0,70.3521,55.6,60.5007,2.95,1103.0,38.0542,84.5833,46.5292,7.1101,93.8327
SO2,1265.0,64.278,59.5833,45.0193,2.6,680.7917,32.9167,85.625,52.7083,3.7543,37.273
Clouds,1265.0,71.0143,75.5833,23.5548,0.0,100.0,56.8333,90.0833,33.25,-0.8408,0.1201
Precipitation,1265.0,0.2443,0.0208,0.5324,0.0,4.7708,0.0,0.2292,0.2292,3.9693,19.9051
Pressure,1265.0,1010.0846,1009.75,7.0748,991.8333,1029.2917,1004.0417,1015.5417,11.5,0.2736,-0.7253
Relative Humidity,1265.0,77.6036,79.5,10.4677,29.9583,97.0,72.2917,85.0,12.7083,-0.9498,1.0753
Temperature,1265.0,24.8821,26.0583,5.1702,9.1958,34.7333,20.8333,28.9667,8.1333,-0.5538,-0.6243
UV Index,1265.0,1.3192,1.1208,0.589,0.5375,3.4375,0.9417,1.5917,0.65,1.2703,1.3743
Wind Speed,1265.0,1.7789,1.7158,0.5212,0.7008,5.4125,1.3921,2.1092,0.7171,0.8442,1.9232
