year,month,Số ngày,Trung bình,Trung vị,Độ lệch chuẩn,Nhỏ nhất,Lớn nhất
2022,1,19,69.894,63.5279,23.5798,31.2638,106.4167
2022,2,28,63.1538,54.9098,28.5164,25.9721,124.0
2022,3,31,44.733,38.9583,19.0793,24.125,98.3475
2022,4,30,69.4824,52.0138,43.5303,29.2221,194.5558
2022,5,31,47.9879,37.75,32.6552,16.3333,139.7363
2022,6,30,33.013,32.3333,11.0353,18.7917,69.4583
2022,7,31,26.5718,23.9583,5.8765,19.25,41.1667
2022,8,31,27.0726,26.1667,7.7074,15.375,52.625
2022,9,30,42.5143,40.0417,12.7907,25.8608,71.5417
2022,10,31,43.0246,39.75,17.0149,20.9029,84.6525
2022,11,30,51.5796,45.8542,22.505,21.0,96.875
2022,12,31,68.7567,65.0,31.0224,18.2083,141.1667
2023,1,31,76.9709,73.0417,27.3453,32.875,128.2083
2023,2,28,47.9722,41.6667,19.3123,21.9583,96.0279
2023,3,31,55.4678,58.4167,24.2273,22.0971,113.1804
2023,4,30,46.7421,49.2083,12.6577,23.3054,69.7917
2023,5,31,35.3575,32.9725,10.7629,19.0417,55.9583
2023,6,30,30.644,27.7223,10.6374,15.9167,52.4583
2023,7,31,26.4176,27.7917,11.8385,2.3333,45.6667
2023,8,31,30.9969,30.2917,9.1296,18.9167,57.0
2023,9,30,34.4653,31.875,11.6803,15.0833,53.375
2023,10,31,46.2433,39.7083,18.5489,19.9583,95.875
2023,11,30,113.3889,75.7221,85.3488,10.6667,261.0138
2023,12,31,87.2196,72.8125,43.066,27.5762,189.6529
2024,1,31,53.7374,51.125,19.4284,17.7637,99.4167
2024,2,29,38.7209,30.0279,33.7681,11.6437,161.6471
2024,3,31,51.8655,44.81,21.4207,16.2068,104.5846
2024,4,30,51.9385,51.7396,20.1722,19.6283,110.9912
2024,5,31,31.8225,29.9996,9.3559,16.7854,54.8125
2024,6,30,27.3488,22.1138,14.5622,13.0758,77.0996
2024,7,31,20.9193,19.7146,7.0873,11.1496,48.9162
2024,8,31,33.0028,29.5275,14.4727,11.4517,65.3146
2024,9,30,26.0275,21.0392,12.566,8.8746,53.7133
2024,10,31,57.7133,51.4446,26.0526,12.3642,117.0417
2024,11,30,79.2098,77.1392,26.7234,33.4862,130.6662
2024,12,31,81.7558,82.2088,31.4713,35.0558,157.2363
2025,1,31,93.6188,104.5138,36.5469,23.0208,160.285
2025,2,28,54.1466,45.8333,27.4495,18.8125,119.1667
2025,3,31,60.7296,52.7292,29.1815,23.7362,136.9863
2025,4,30,70.4819,66.4235,18.5384,38.625,113.3333
2025,5,31,46.2861,43.5137,12.7808,26.3196,69.5
2025,6,30,41.5134,39.4375,14.2218,26.9238,93.625
