month,Số ngày,Trung bình,Trung vị,Độ lệch chuẩn,Nhỏ nhất,Lớn nhất
1,112,73.9475,70.1771,31.3493,17.7637,160.285
2,113,50.8897,41.5417,28.8684,11.6437,161.6471
3,124,53.199,46.4375,24.2004,16.2068,136.9863
4,120,59.6612,54.1562,28.1902,19.6283,194.5558
5,124,40.3635,36.7985,19.9431,16.3333,139.7363
6,120,33.1298,30.625,13.6355,13.0758,93.625
7,93,24.6362,23.3333,8.9626,2.3333,48.9162
8,93,30.3574,28.25,10.9993,11.4517,65.3146
9,90,34.3357,33.9981,13.9655,8.8746,71.5417
10,93,48.9938,42.2083,21.6357,12.3642,117.0417
11,90,81.3928,62.3125,58.4602,10.6667,261.0138
12,93,79.244,73.375,36.086,18.2083,189.6529
